,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee,home goals,away goals
625,Regular Season,Fri,2019-08-23,20:30,Köln,0.7,1 3,1.4,Dortmund,50000.0,RheinEnergieSTADION,Christian Dingert,1,3
626,Regular Season,Sat,2019-08-24,15:30,Hoffenheim,0.7,3 2,1.3,Werder Bremen,27333.0,PreZero Arena,Sascha Stegemann,3,2
627,Regular Season,Sat,2019-08-24,15:30,Düsseldorf,1.0,1 3,1.8,Leverkusen,44538.0,Merkur Spielarena,Patrick Ittrich,1,3
628,Regular Season,Sat,2019-08-24,15:30,Mainz 05,1.3,1 3,1.6,M'Gladbach,28005.0,Opel Arena,Martin Petersen,1,3
629,Regular Season,Sat,2019-08-24,15:30,Augsburg,1.3,1 1,1.1,Union Berlin,27703.0,WWK Arena,Robert Schröder,1,1
630,Regular Season,Sat,2019-08-24,15:30,Paderborn 07,1.7,1 3,2.2,Freiburg,14322.0,Benteler-Arena,Tobias Welz,1,3
631,Regular Season,Sat,2019-08-24,18:30,Schalke 04,1.0,0 3,1.5,Bayern Munich,62271.0,Veltins-Arena,Marco Fritz,0,3
632,Regular Season,Sun,2019-08-25,15:30,RB Leipzig,1.4,2 1,1.0,Eint Frankfurt,40108.0,Red Bull Arena,Benjamin Cortus,2,1
633,Regular Season,Sun,2019-08-25,18:00,Hertha BSC,1.1,0 3,1.2,Wolfsburg,42738.0,Olympiastadion Berlin,Guido Winkmann,0,3
634,Regular Season,Fri,2019-08-30,20:30,M'Gladbach,1.1,1 3,2.2,RB Leipzig,47327.0,Stadion im Borussia-Park,Sven Jablonski,1,3
635,Regular Season,Sat,2019-08-31,15:30,Schalke 04,1.0,3 0,0.8,Hertha BSC,58875.0,Veltins-Arena,Tobias Stieler,3,0
636,Regular Season,Sat,2019-08-31,15:30,Freiburg,0.7,1 2,1.4,Köln,24000.0,Schwarzwald-Stadion,Robert Kampka,1,2
637,Regular Season,Sat,2019-08-31,15:30,Bayern Munich,2.7,6 1,0.4,Mainz 05,75000.0,Allianz Arena,Markus Schmidt,6,1
638,Regular Season,Sat,2019-08-31,15:30,Wolfsburg,0.6,1 1,0.7,Paderborn 07,23750.0,Volkswagen Arena,Daniel Schlager,1,1
639,Regular Season,Sat,2019-08-31,15:30,Leverkusen,0.8,0 0,0.3,Hoffenheim,26506.0,BayArena,Felix Zwayer,0,0
640,Regular Season,Sat,2019-08-31,18:30,Union Berlin,1.9,3 1,1.9,Dortmund,22012.0,Stadion An der Alten Försterei,Felix Brych,3,1
641,Regular Season,Sun,2019-09-01,15:30,Werder Bremen,2.5,3 2,1.5,Augsburg,40041.0,Weserstadion,Sören Storks,3,2
642,Regular Season,Sun,2019-09-01,18:00,Eint Frankfurt,1.2,2 1,0.6,Düsseldorf,49800.0,Commerzbank-Arena,Frank Willenborg,2,1
643,Regular Season,Fri,2019-09-13,20:30,Düsseldorf,0.5,1 1,1.3,Wolfsburg,36758.0,Merkur Spielarena,Manuel Gräfe,1,1
644,Regular Season,Sat,2019-09-14,15:30,Dortmund,2.5,4 0,0.8,Leverkusen,81365.0,Signal Iduna Park,Daniel Siebert,4,0
645,Regular Season,Sat,2019-09-14,15:30,Augsburg,2.0,2 1,1.0,Eint Frankfurt,28513.0,WWK Arena,Harm Osmers,2,1
646,Regular Season,Sat,2019-09-14,15:30,Köln,0.9,0 1,1.7,M'Gladbach,50000.0,RheinEnergieSTADION,Deniz Aytekin,0,1
647,Regular Season,Sat,2019-09-14,15:30,Union Berlin,1.6,1 2,2.7,Werder Bremen,22012.0,Stadion An der Alten Försterei,Tobias Welz,1,2
648,Regular Season,Sat,2019-09-14,15:30,Mainz 05,1.7,2 1,2.2,Hertha BSC,22798.0,Opel Arena,Marco Fritz,2,1
649,Regular Season,Sat,2019-09-14,18:30,RB Leipzig,1.5,1 1,1.5,Bayern Munich,42146.0,Red Bull Arena,Sascha Stegemann,1,1
650,Regular Season,Sun,2019-09-15,15:30,Hoffenheim,1.5,0 3,1.2,Freiburg,29395.0,PreZero Arena,Guido Winkmann,0,3
651,Regular Season,Sun,2019-09-15,18:00,Paderborn 07,1.1,1 5,2.7,Schalke 04,15000.0,Benteler-Arena,Robert Schröder,1,5
652,Regular Season,Fri,2019-09-20,20:30,Schalke 04,1.3,2 1,1.2,Mainz 05,58687.0,Veltins-Arena,Daniel Schlager,2,1
653,Regular Season,Sat,2019-09-21,15:30,Freiburg,1.0,1 1,1.0,Augsburg,23800.0,Schwarzwald-Stadion,Bastian Dankert,1,1
654,Regular Season,Sat,2019-09-21,15:30,Leverkusen,1.7,2 0,0.2,Union Berlin,27430.0,BayArena,Robert Hartmann,2,0
655,Regular Season,Sat,2019-09-21,15:30,Hertha BSC,1.3,2 1,1.3,Paderborn 07,43588.0,Olympiastadion Berlin,Frank Willenborg,2,1
656,Regular Season,Sat,2019-09-21,15:30,Bayern Munich,2.7,4 0,0.8,Köln,75000.0,Allianz Arena,Patrick Ittrich,4,0
657,Regular Season,Sat,2019-09-21,18:30,Werder Bremen,0.7,0 3,1.5,RB Leipzig,40550.0,Weserstadion,Tobias Stieler,0,3
658,Regular Season,Sun,2019-09-22,15:30,M'Gladbach,2.8,2 1,0.9,Düsseldorf,52413.0,Stadion im Borussia-Park,Christian Dingert,2,1
659,Regular Season,Sun,2019-09-22,18:00,Eint Frankfurt,1.1,2 2,2.2,Dortmund,51500.0,Commerzbank-Arena,Markus Schmidt,2,2
660,Regular Season,Mon,2019-09-23,20:30,Wolfsburg,1.2,1 1,0.7,Hoffenheim,21120.0,Volkswagen Arena,Benjamin Cortus,1,1
661,Regular Season,Fri,2019-09-27,20:30,Union Berlin,0.6,1 2,1.5,Eint Frankfurt,22012.0,Stadion An der Alten Försterei,Sascha Stegemann,1,2
662,Regular Season,Sat,2019-09-28,15:30,RB Leipzig,1.6,1 3,2.6,Schalke 04,42146.0,Red Bull Arena,Manuel Gräfe,1,3
663,Regular Season,Sat,2019-09-28,15:30,Augsburg,0.3,0 3,1.2,Leverkusen,27113.0,WWK Arena,Robert Kampka,0,3
664,Regular Season,Sat,2019-09-28,15:30,Paderborn 07,0.3,2 3,3.5,Bayern Munich,15000.0,Benteler-Arena,Felix Zwayer,2,3
