,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee,home goals,away goals
0,Regular Season,Fri,2021-08-13,20:30,M'Gladbach,2.0,1 1,2.6,Bayern Munich,22925.0,Stadion im Borussia-Park,Marco Fritz,1,1
1,Regular Season,Sat,2021-08-14,15:30,Wolfsburg,3.0,1 0,0.4,Bochum,8536.0,Volkswagen Arena,Frank Willenborg,1,0
2,Regular Season,Sat,2021-08-14,15:30,Arminia,0.9,0 0,1.4,Freiburg,13750.0,SchücoArena,Sven Jablonski,0,0
3,Regular Season,Sat,2021-08-14,15:30,Augsburg,0.6,0 4,3.4,Hoffenheim,9124.0,WWK Arena,Felix Brych,0,4
4,Regular Season,Sat,2021-08-14,15:30,Stuttgart,4.0,5 1,0.8,Greuther Fürth,18109.0,Mercedes-Benz Arena,Felix Zwayer,5,1
5,Regular Season,Sat,2021-08-14,15:30,Union Berlin,0.5,1 1,0.7,Leverkusen,11000.0,Stadion An der Alten Försterei,Tobias Reichel,1,1
6,Regular Season,Sat,2021-08-14,18:30,Dortmund,2.5,5 2,1.8,Eint Frankfurt,25000.0,Signal Iduna Park,Tobias Stieler,5,2
7,Regular Season,Sun,2021-08-15,15:30,Mainz 05,1.1,1 0,1.1,RB Leipzig,10500.0,Opel Arena,Daniel Siebert,1,0
8,Regular Season,Sun,2021-08-15,17:30,Köln,1.7,3 1,1.9,Hertha BSC,16500.0,RheinEnergieSTADION,Robert Hartmann,3,1
9,Regular Season,Fri,2021-08-20,20:30,RB Leipzig,3.5,4 0,1.1,Stuttgart,23100.0,Red Bull Arena,Florian Badstübner,4,0
10,Regular Season,Sat,2021-08-21,15:30,Freiburg,1.0,2 1,1.5,Dortmund,10100.0,Schwarzwald-Stadion,Robert Schröder,2,1
11,Regular Season,Sat,2021-08-21,15:30,Bochum,0.7,2 0,0.8,Mainz 05,12548.0,Vonovia Ruhrstadion,Patrick Ittrich,2,0
12,Regular Season,Sat,2021-08-21,15:30,Greuther Fürth,2.3,1 1,0.6,Arminia,5890.0,Sportpark Ronhof Thomas Sommer,Daniel Schlager,1,1
13,Regular Season,Sat,2021-08-21,15:30,Eint Frankfurt,1.4,0 0,0.2,Augsburg,22000.0,Commerzbank-Arena,Harm Osmers,0,0
14,Regular Season,Sat,2021-08-21,15:30,Hertha BSC,1.3,1 2,1.4,Wolfsburg,18241.0,Olympiastadion Berlin,Matthias Jöllenbeck,1,2
15,Regular Season,Sat,2021-08-21,18:30,Leverkusen,2.0,4 0,1.7,M'Gladbach,15105.0,BayArena,Deniz Aytekin,4,0
16,Regular Season,Sun,2021-08-22,15:30,Hoffenheim,0.9,2 2,1.6,Union Berlin,8014.0,PreZero Arena,Sascha Stegemann,2,2
17,Regular Season,Sun,2021-08-22,17:30,Bayern Munich,2.6,3 2,0.8,Köln,20000.0,Allianz Arena,Martin Petersen,3,2
18,Regular Season,Fri,2021-08-27,20:30,Dortmund,3.6,3 2,1.8,Hoffenheim,25000.0,Signal Iduna Park,Felix Zwayer,3,2
19,Regular Season,Sat,2021-08-28,15:30,Arminia,0.7,1 1,2.1,Eint Frankfurt,13750.0,SchücoArena,Bastian Dankert,1,1
20,Regular Season,Sat,2021-08-28,15:30,Stuttgart,1.5,2 3,1.2,Freiburg,25000.0,Mercedes-Benz Arena,Frank Willenborg,2,3
21,Regular Season,Sat,2021-08-28,15:30,Mainz 05,2.6,3 0,0.4,Greuther Fürth,11500.0,Opel Arena,Tobias Reichel,3,0
22,Regular Season,Sat,2021-08-28,15:30,Köln,2.0,2 1,1.0,Bochum,25000.0,RheinEnergieSTADION,Benjamin Cortus,2,1
23,Regular Season,Sat,2021-08-28,15:30,Augsburg,1.5,1 4,2.1,Leverkusen,10582.0,WWK Arena,Benjamin Brand,1,4
24,Regular Season,Sat,2021-08-28,18:30,Bayern Munich,3.0,5 0,0.4,Hertha BSC,25000.0,Allianz Arena,Sven Jablonski,5,0
25,Regular Season,Sun,2021-08-29,15:30,Union Berlin,1.9,2 1,2.2,M'Gladbach,11006.0,Stadion An der Alten Försterei,Felix Brych,2,1
26,Regular Season,Sun,2021-08-29,17:30,Wolfsburg,1.1,1 0,1.4,RB Leipzig,12058.0,Volkswagen Arena,Tobias Stieler,1,0
27,Regular Season,Sat,2021-09-11,15:30,Hoffenheim,0.8,0 2,1.1,Mainz 05,8427.0,PreZero Arena,Marco Fritz,0,2
28,Regular Season,Sat,2021-09-11,15:30,Freiburg,0.6,1 1,0.8,Köln,10000.0,Schwarzwald-Stadion,Harm Osmers,1,1
29,Regular Season,Sat,2021-09-11,15:30,Union Berlin,1.3,0 0,1.3,Augsburg,10207.0,Stadion An der Alten Försterei,Martin Petersen,0,0
30,Regular Season,Sat,2021-09-11,15:30,Greuther Fürth,0.5,0 2,1.6,Wolfsburg,9000.0,Sportpark Ronhof Thomas Sommer,Robert Hartmann,0,2
31,Regular Season,Sat,2021-09-11,15:30,Leverkusen,0.9,3 4,2.1,Dortmund,17605.0,BayArena,Daniel Siebert,3,4
32,Regular Season,Sat,2021-09-11,18:30,RB Leipzig,0.5,1 4,4.2,Bayern Munich,34000.0,Red Bull Arena,Deniz Aytekin,1,4
33,Regular Season,Sun,2021-09-12,15:30,Eint Frankfurt,1.3,1 1,1.4,Stuttgart,25000.0,Commerzbank-Arena,Matthias Jöllenbeck,1,1
34,Regular Season,Sun,2021-09-12,17:30,Bochum,1.2,1 3,0.5,Hertha BSC,14000.0,Vonovia Ruhrstadion,Robert Schröder,1,3
35,Regular Season,Sun,2021-09-12,19:30,M'Gladbach,1.9,3 1,1.8,Arminia,24500.0,Stadion im Borussia-Park,Sascha Stegemann,3,1
36,Regular Season,Fri,2021-09-17,20:30,Hertha BSC,1.1,2 1,1.3,Greuther Fürth,21372.0,Olympiastadion Berlin,Tobias Stieler,2,1
37,Regular Season,Sat,2021-09-18,15:30,Augsburg,0.4,1 0,0.7,M'Gladbach,12500.0,WWK Arena,Florian Badstübner,1,0
38,Regular Season,Sat,2021-09-18,15:30,Arminia,1.1,0 0,1.5,Hoffenheim,13750.0,SchücoArena,Patrick Ittrich,0,0
39,Regular Season,Sat,2021-09-18,15:30,Bayern Munich,4.5,7 0,1.0,Bochum,25000.0,Allianz Arena,Tobias Welz,7,0
40,Regular Season,Sat,2021-09-18,15:30,Mainz 05,0.8,0 0,0.7,Freiburg,13500.0,Opel Arena,Benjamin Brand,0,0
41,Regular Season,Sat,2021-09-18,18:30,Köln,1.6,1 1,1.9,RB Leipzig,25000.0,RheinEnergieSTADION,Felix Brych,1,1
42,Regular Season,Sun,2021-09-19,15:30,Stuttgart,1.1,1 3,1.5,Leverkusen,23450.0,Mercedes-Benz Arena,Benjamin Cortus,1,3
43,Regular Season,Sun,2021-09-19,17:30,Dortmund,0.9,4 2,1.4,Union Berlin,25000.0,Signal Iduna Park,Sven Jablonski,4,2
44,Regular Season,Sun,2021-09-19,19:30,Wolfsburg,1.7,1 1,0.3,Eint Frankfurt,9266.0,Volkswagen Arena,Felix Zwayer,1,1
45,Regular Season,Fri,2021-09-24,20:30,Greuther Fürth,1.0,1 3,0.9,Bayern Munich,11740.0,Sportpark Ronhof Thomas Sommer,Robert Schröder,1,3
46,Regular Season,Sat,2021-09-25,15:30,Union Berlin,1.2,1 0,0.6,Arminia,11000.0,Stadion An der Alten Försterei,Marco Fritz,1,0
47,Regular Season,Sat,2021-09-25,15:30,RB Leipzig,3.9,6 0,0.3,Hertha BSC,23500.0,Red Bull Arena,Sascha Stegemann,6,0
48,Regular Season,Sat,2021-09-25,15:30,Eint Frankfurt,1.2,1 1,1.0,Köln,24000.0,Commerzbank-Arena,Martin Petersen,1,1
49,Regular Season,Sat,2021-09-25,15:30,Leverkusen,1.6,1 0,1.0,Mainz 05,16624.0,BayArena,Bastian Dankert,1,0
50,Regular Season,Sat,2021-09-25,15:30,Hoffenheim,1.7,3 1,0.6,Wolfsburg,8523.0,PreZero Arena,Daniel Siebert,3,1
51,Regular Season,Sat,2021-09-25,18:30,M'Gladbach,1.4,1 0,0.4,Dortmund,25000.0,Stadion im Borussia-Park,Deniz Aytekin,1,0
52,Regular Season,Sun,2021-09-26,15:30,Bochum,0.7,0 0,0.2,Stuttgart,15300.0,Vonovia Ruhrstadion,Christian Dingert,0,0
53,Regular Season,Sun,2021-09-26,17:30,Freiburg,3.0,3 0,0.2,Augsburg,14400.0,Schwarzwald-Stadion,Daniel Schlager,3,0
54,Regular Season,Fri,2021-10-01,20:30,Köln,2.7,3 1,1.2,Greuther Fürth,40000.0,RheinEnergieSTADION,Matthias Jöllenbeck,3,1
55,Regular Season,Sat,2021-10-02,15:30,Hertha BSC,1.0,1 2,1.0,Freiburg,18376.0,Olympiastadion Berlin,Patrick Ittrich,1,2
56,Regular Season,Sat,2021-10-02,15:30,Wolfsburg,1.3,1 3,2.8,M'Gladbach,12845.0,Volkswagen Arena,Frank Willenborg,1,3
57,Regular Season,Sat,2021-10-02,15:30,Stuttgart,0.8,3 1,1.3,Hoffenheim,24211.0,Mercedes-Benz Arena,Harm Osmers,3,1
58,Regular Season,Sat,2021-10-02,15:30,Dortmund,3.0,2 1,0.8,Augsburg,41000.0,Signal Iduna Park,Tobias Welz,2,1
59,Regular Season,Sat,2021-10-02,18:30,RB Leipzig,2.5,3 0,1.3,Bochum,25598.0,Red Bull Arena,Robert Hartmann,3,0
60,Regular Season,Sun,2021-10-03,15:30,Mainz 05,1.1,1 2,1.3,Union Berlin,16000.0,Opel Arena,Tobias Stieler,1,2
61,Regular Season,Sun,2021-10-03,17:30,Bayern Munich,2.7,1 2,0.7,Eint Frankfurt,25000.0,Allianz Arena,Florian Badstübner,1,2
62,Regular Season,Sun,2021-10-03,19:30,Arminia,0.4,0 4,3.0,Leverkusen,16250.0,SchücoArena,Felix Zwayer,0,4
63,Regular Season,Fri,2021-10-15,20:30,Hoffenheim,3.7,5 0,0.7,Köln,14309.0,PreZero Arena,Tobias Reichel,5,0
64,Regular Season,Sat,2021-10-16,15:30,Union Berlin,1.2,2 0,1.8,Wolfsburg,11000.0,Stadion An der Alten Försterei,Sascha Stegemann,2,0
65,Regular Season,Sat,2021-10-16,15:30,Eint Frankfurt,1.5,1 2,1.8,Hertha BSC,32000.0,Commerzbank-Arena,Deniz Aytekin,1,2
66,Regular Season,Sat,2021-10-16,15:30,Greuther Fürth,1.0,0 1,1.2,Bochum,10586.0,Sportpark Ronhof Thomas Sommer,Bastian Dankert,0,1
67,Regular Season,Sat,2021-10-16,15:30,Dortmund,2.3,3 1,0.6,Mainz 05,63812.0,Signal Iduna Park,Daniel Schlager,3,1
68,Regular Season,Sat,2021-10-16,15:30,Freiburg,1.4,1 1,1.7,RB Leipzig,20000.0,Europa-Park Stadion,Daniel Siebert,1,1
69,Regular Season,Sat,2021-10-16,18:30,M'Gladbach,2.6,1 1,0.5,Stuttgart,41608.0,Stadion im Borussia-Park,Felix Brych,1,1
70,Regular Season,Sun,2021-10-17,15:30,Leverkusen,0.8,1 5,3.1,Bayern Munich,29542.0,BayArena,Sven Jablonski,1,5
71,Regular Season,Sun,2021-10-17,17:30,Augsburg,0.8,1 1,0.4,Arminia,17500.0,WWK Arena,Robert Schröder,1,1
72,Regular Season,Fri,2021-10-22,20:30,Mainz 05,3.6,4 1,0.8,Augsburg,19400.0,Opel Arena,Robert Hartmann,4,1
73,Regular Season,Sat,2021-10-23,15:30,RB Leipzig,2.5,4 1,1.5,Greuther Fürth,24758.0,Red Bull Arena,Christian Dingert,4,1
74,Regular Season,Sat,2021-10-23,15:30,Arminia,1.7,1 3,2.4,Dortmund,25000.0,SchücoArena,Benjamin Brand,1,3
75,Regular Season,Sat,2021-10-23,15:30,Bayern Munich,2.1,4 0,0.7,Hoffenheim,60000.0,Allianz Arena,Matthias Jöllenbeck,4,0
76,Regular Season,Sat,2021-10-23,15:30,Wolfsburg,1.8,0 2,1.5,Freiburg,10251.0,Volkswagen Arena,Tobias Welz,0,2
77,Regular Season,Sat,2021-10-23,18:30,Hertha BSC,1.1,1 0,0.7,M'Gladbach,25000.0,Olympiastadion Berlin,Benjamin Cortus,1,0
78,Regular Season,Sun,2021-10-24,15:30,Köln,1.9,2 2,1.4,Leverkusen,49600.0,RheinEnergieSTADION,Felix Zwayer,2,2
79,Regular Season,Sun,2021-10-24,17:30,Stuttgart,0.5,1 1,1.2,Union Berlin,32595.0,Mercedes-Benz Arena,Florian Badstübner,1,1
80,Regular Season,Sun,2021-10-24,19:30,Bochum,2.1,2 0,1.6,Eint Frankfurt,19510.0,Vonovia Ruhrstadion,Marco Fritz,2,0
81,Regular Season,Fri,2021-10-29,20:30,Hoffenheim,1.0,2 0,0.4,Hertha BSC,8127.0,PreZero Arena,Sven Jablonski,2,0
82,Regular Season,Sat,2021-10-30,15:30,Dortmund,1.3,2 0,1.3,Köln,66709.0,Signal Iduna Park,Martin Petersen,2,0
83,Regular Season,Sat,2021-10-30,15:30,Leverkusen,1.4,0 2,1.7,Wolfsburg,20132.0,BayArena,Deniz Aytekin,0,2
84,Regular Season,Sat,2021-10-30,15:30,Freiburg,1.3,3 1,0.7,Greuther Fürth,31500.0,Europa-Park Stadion,Felix Brych,3,1
85,Regular Season,Sat,2021-10-30,15:30,Union Berlin,1.1,2 5,3.3,Bayern Munich,16509.0,Stadion An der Alten Försterei,Harm Osmers,2,5
86,Regular Season,Sat,2021-10-30,15:30,Arminia,0.7,1 2,2.5,Mainz 05,19477.0,SchücoArena,Bastian Dankert,1,2
87,Regular Season,Sat,2021-10-30,18:30,Eint Frankfurt,0.6,1 1,2.8,RB Leipzig,31000.0,Commerzbank-Arena,Daniel Schlager,1,1
88,Regular Season,Sun,2021-10-31,15:30,Augsburg,2.0,4 1,0.9,Stuttgart,17500.0,WWK Arena,Patrick Ittrich,4,1
89,Regular Season,Sun,2021-10-31,17:30,M'Gladbach,1.8,2 1,1.0,Bochum,42361.0,Stadion im Borussia-Park,Tobias Reichel,2,1
90,Regular Season,Fri,2021-11-05,20:30,Mainz 05,0.9,1 1,1.8,M'Gladbach,25000.0,Opel Arena,Robert Schröder,1,1
91,Regular Season,Sat,2021-11-06,15:30,Stuttgart,0.9,0 1,1.7,Arminia,33550.0,Mercedes-Benz Arena,Christian Dingert,0,1
92,Regular Season,Sat,2021-11-06,15:30,Wolfsburg,0.8,1 0,0.6,Augsburg,16095.0,Volkswagen Arena,Marco Fritz,1,0
93,Regular Season,Sat,2021-11-06,15:30,Bayern Munich,3.5,2 1,1.1,Freiburg,75000.0,Allianz Arena,Sascha Stegemann,2,1
94,Regular Season,Sat,2021-11-06,15:30,Bochum,2.3,2 0,0.6,Hoffenheim,19600.0,Vonovia Ruhrstadion,Frank Willenborg,2,0
95,Regular Season,Sat,2021-11-06,18:30,RB Leipzig,2.4,2 1,1.2,Dortmund,43429.0,Red Bull Arena,Felix Zwayer,2,1
96,Regular Season,Sun,2021-11-07,15:30,Hertha BSC,0.9,1 1,1.0,Leverkusen,22187.0,Olympiastadion Berlin,Robert Hartmann,1,1
97,Regular Season,Sun,2021-11-07,17:30,Köln,2.1,2 2,1.1,Union Berlin,49000.0,RheinEnergieSTADION,Tobias Stieler,2,2
98,Regular Season,Sun,2021-11-07,19:30,Greuther Fürth,2.8,1 2,1.5,Eint Frankfurt,10244.0,Sportpark Ronhof Thomas Sommer,Daniel Siebert,1,2
99,Regular Season,Fri,2021-11-19,20:30,Augsburg,0.3,2 1,1.6,Bayern Munich,26000.0,WWK Arena,Daniel Siebert,2,1
100,Regular Season,Sat,2021-11-20,15:30,Leverkusen,1.7,1 0,0.8,Bochum,22538.0,BayArena,Daniel Schlager,1,0
101,Regular Season,Sat,2021-11-20,15:30,Hoffenheim,2.7,2 0,0.2,RB Leipzig,13233.0,PreZero Arena,Tobias Welz,2,0
102,Regular Season,Sat,2021-11-20,15:30,Dortmund,1.7,2 1,1.4,Stuttgart,57900.0,Signal Iduna Park,Harm Osmers,2,1
103,Regular Season,Sat,2021-11-20,15:30,Arminia,1.5,2 2,1.7,Wolfsburg,19801.0,SchücoArena,Martin Petersen,2,2
104,Regular Season,Sat,2021-11-20,15:30,M'Gladbach,2.6,4 0,0.4,Greuther Fürth,38621.0,Stadion im Borussia-Park,Benjamin Brand,4,0
105,Regular Season,Sat,2021-11-20,18:30,Union Berlin,2.0,2 0,0.5,Hertha BSC,22012.0,Stadion An der Alten Försterei,Felix Brych,2,0
106,Regular Season,Sun,2021-11-21,15:30,Freiburg,1.7,0 2,1.3,Eint Frankfurt,32500.0,Europa-Park Stadion,Florian Badstübner,0,2
107,Regular Season,Sun,2021-11-21,17:30,Mainz 05,0.9,1 1,1.7,Köln,25500.0,Opel Arena,Deniz Aytekin,1,1
108,Regular Season,Fri,2021-11-26,20:30,Stuttgart,0.4,2 1,1.0,Mainz 05,25000.0,Mercedes-Benz Arena,Matthias Jöllenbeck,2,1
109,Regular Season,Sat,2021-11-27,15:30,Bochum,1.0,2 1,2.1,Freiburg,19700.0,Vonovia Ruhrstadion,Patrick Ittrich,2,1
110,Regular Season,Sat,2021-11-27,15:30,Wolfsburg,1.4,1 3,2.2,Dortmund,13281.0,Volkswagen Arena,Sven Jablonski,1,3
111,Regular Season,Sat,2021-11-27,15:30,Köln,1.7,4 1,1.1,M'Gladbach,50000.0,RheinEnergieSTADION,Robert Schröder,4,1
112,Regular Season,Sat,2021-11-27,15:30,Hertha BSC,1.4,1 1,1.4,Augsburg,14523.0,Olympiastadion Berlin,Frank Willenborg,1,1
113,Regular Season,Sat,2021-11-27,15:30,Greuther Fürth,1.4,3 6,3.0,Hoffenheim,3385.0,Sportpark Ronhof Thomas Sommer,Bastian Dankert,3,6
114,Regular Season,Sat,2021-11-27,18:30,Bayern Munich,2.3,1 0,0.5,Arminia,12000.0,Allianz Arena,Marco Fritz,1,0
115,Regular Season,Sun,2021-11-28,15:30,Eint Frankfurt,1.9,2 1,1.3,Union Berlin,24000.0,Commerzbank-Arena,Sascha Stegemann,2,1
116,Regular Season,Sun,2021-11-28,17:30,RB Leipzig,1.6,1 3,1.8,Leverkusen,35584.32258064516,Red Bull Arena,Benjamin Cortus,1,3
117,Regular Season,Fri,2021-12-03,20:30,Union Berlin,3.3,2 1,1.3,RB Leipzig,13506.0,Stadion An der Alten Försterei,Harm Osmers,2,1
118,Regular Season,Sat,2021-12-04,15:30,Leverkusen,2.8,7 1,0.4,Greuther Fürth,10455.0,BayArena,Tobias Reichel,7,1
119,Regular Season,Sat,2021-12-04,15:30,Mainz 05,1.4,3 0,0.7,Wolfsburg,10000.0,Opel Arena,Florian Badstübner,3,0
120,Regular Season,Sat,2021-12-04,15:30,Hoffenheim,0.9,3 2,1.7,Eint Frankfurt,23331.615384615383,PreZero Arena,Daniel Schlager,3,2
121,Regular Season,Sat,2021-12-04,15:30,Augsburg,2.9,2 3,1.2,Bochum,25827.93442622951,WWK Arena,Deniz Aytekin,2,3
122,Regular Season,Sat,2021-12-04,15:30,Arminia,1.5,1 1,1.1,Köln,8231.0,SchücoArena,Felix Brych,1,1
123,Regular Season,Sat,2021-12-04,18:30,Dortmund,1.1,2 3,2.0,Bayern Munich,15000.0,Signal Iduna Park,Felix Zwayer,2,3
124,Regular Season,Sun,2021-12-05,15:30,Stuttgart,1.2,2 2,1.1,Hertha BSC,395.0,Mercedes-Benz Arena,Benjamin Brand,2,2
125,Regular Season,Sun,2021-12-05,17:30,M'Gladbach,1.1,0 6,1.8,Freiburg,10025.0,Stadion im Borussia-Park,Robert Hartmann,0,6
126,Regular Season,Fri,2021-12-10,20:30,Köln,1.2,0 2,0.7,Augsburg,15000.0,RheinEnergieSTADION,Patrick Ittrich,0,2
127,Regular Season,Sat,2021-12-11,15:30,RB Leipzig,4.4,4 1,1.4,M'Gladbach,35584.32258064516,Red Bull Arena,Bastian Dankert,4,1
128,Regular Season,Sat,2021-12-11,15:30,Hertha BSC,2.0,2 0,0.4,Arminia,5000.0,Olympiastadion Berlin,Tobias Welz,2,0
129,Regular Season,Sat,2021-12-11,15:30,Freiburg,1.6,1 2,1.1,Hoffenheim,750.0,Europa-Park Stadion,Frank Willenborg,1,2
130,Regular Season,Sat,2021-12-11,15:30,Bochum,0.9,1 1,2.5,Dortmund,13799.0,Vonovia Ruhrstadion,Matthias Jöllenbeck,1,1
131,Regular Season,Sat,2021-12-11,15:30,Bayern Munich,1.9,2 1,0.8,Mainz 05,65955.64516129032,Allianz Arena,Benjamin Cortus,2,1
132,Regular Season,Sat,2021-12-11,18:30,Wolfsburg,1.5,0 2,1.4,Stuttgart,5000.0,Volkswagen Arena,Sascha Stegemann,0,2
133,Regular Season,Sun,2021-12-12,15:30,Greuther Fürth,0.7,1 0,1.2,Union Berlin,10032.76923076923,Sportpark Ronhof Thomas Sommer,Sven Jablonski,1,0
134,Regular Season,Sun,2021-12-12,17:30,Eint Frankfurt,1.6,5 2,1.7,Leverkusen,12000.0,Commerzbank-Arena,Marco Fritz,5,2
135,Regular Season,Tue,2021-12-14,18:30,Stuttgart,0.9,0 5,3.3,Bayern Munich,750.0,Mercedes-Benz Arena,Robert Schröder,0,5
136,Regular Season,Tue,2021-12-14,20:30,Wolfsburg,2.5,2 3,3.3,Köln,5000.0,Volkswagen Arena,Robert Hartmann,2,3
137,Regular Season,Tue,2021-12-14,20:30,Arminia,0.9,2 0,0.6,Bochum,13750.0,SchücoArena,Benjamin Brand,2,0
138,Regular Season,Tue,2021-12-14,20:30,Mainz 05,2.6,4 0,0.5,Hertha BSC,10000.0,Opel Arena,Harm Osmers,4,0
139,Regular Season,Wed,2021-12-15,18:30,M'Gladbach,1.9,2 3,1.8,Eint Frankfurt,10028.0,Stadion im Borussia-Park,Martin Petersen,2,3
140,Regular Season,Wed,2021-12-15,20:30,Leverkusen,2.0,2 2,1.9,Hoffenheim,13272.0,BayArena,Tobias Stieler,2,2
141,Regular Season,Wed,2021-12-15,20:30,Union Berlin,1.8,0 0,1.4,Freiburg,5000.0,Stadion An der Alten Försterei,Deniz Aytekin,0,0
142,Regular Season,Wed,2021-12-15,20:30,Augsburg,1.4,1 1,2.4,RB Leipzig,25827.93442622951,WWK Arena,Florian Badstübner,1,1
143,Regular Season,Wed,2021-12-15,20:30,Dortmund,1.8,3 0,0.6,Greuther Fürth,15000.0,Signal Iduna Park,Daniel Schlager,3,0
144,Regular Season,Fri,2021-12-17,20:30,Bayern Munich,3.2,4 0,1.2,Wolfsburg,65955.64516129032,Allianz Arena,Tobias Welz,4,0
145,Regular Season,Sat,2021-12-18,15:30,Greuther Fürth,0.1,0 0,1.2,Augsburg,10032.76923076923,Sportpark Ronhof Thomas Sommer,Sascha Stegemann,0,0
146,Regular Season,Sat,2021-12-18,15:30,Bochum,0.9,0 1,1.0,Union Berlin,13500.0,Vonovia Ruhrstadion,Tobias Reichel,0,1
147,Regular Season,Sat,2021-12-18,15:30,Eint Frankfurt,2.0,1 0,0.8,Mainz 05,15000.0,Commerzbank-Arena,Felix Brych,1,0
148,Regular Season,Sat,2021-12-18,15:30,RB Leipzig,2.0,0 2,0.6,Arminia,35584.32258064516,Red Bull Arena,Frank Willenborg,0,2
149,Regular Season,Sat,2021-12-18,15:30,Hoffenheim,2.3,1 1,1.6,M'Gladbach,750.0,PreZero Arena,Sven Jablonski,1,1
150,Regular Season,Sat,2021-12-18,18:30,Hertha BSC,1.6,3 2,1.2,Dortmund,5000.0,Olympiastadion Berlin,Marco Fritz,3,2
151,Regular Season,Sun,2021-12-19,15:30,Freiburg,2.0,2 1,1.0,Leverkusen,750.0,Europa-Park Stadion,Benjamin Cortus,2,1
152,Regular Season,Sun,2021-12-19,17:30,Köln,1.1,1 0,0.4,Stuttgart,15000.0,RheinEnergieSTADION,Bastian Dankert,1,0
153,Regular Season,Fri,2022-01-07,20:30,Bayern Munich,1.7,1 2,1.1,M'Gladbach,65955.64516129032,Allianz Arena,Daniel Siebert,1,2
154,Regular Season,Sat,2022-01-08,15:30,Hoffenheim,1.8,3 1,0.7,Augsburg,500.0,PreZero Arena,Benjamin Cortus,3,1
155,Regular Season,Sat,2022-01-08,15:30,Greuther Fürth,0.8,0 0,1.4,Stuttgart,10032.76923076923,Sportpark Ronhof Thomas Sommer,Felix Brych,0,0
156,Regular Season,Sat,2022-01-08,15:30,Freiburg,2.0,2 2,0.9,Arminia,22560.31746031746,Europa-Park Stadion,Harm Osmers,2,2
157,Regular Season,Sat,2022-01-08,15:30,RB Leipzig,3.3,4 1,0.4,Mainz 05,35584.32258064516,Red Bull Arena,Deniz Aytekin,4,1
158,Regular Season,Sat,2022-01-08,15:30,Leverkusen,1.8,2 2,2.4,Union Berlin,25328.171875,BayArena,Matthias Jöllenbeck,2,2
159,Regular Season,Sat,2022-01-08,18:30,Eint Frankfurt,1.2,2 3,2.4,Dortmund,250.0,Commerzbank-Arena,Robert Schröder,2,3
160,Regular Season,Sun,2022-01-09,15:30,Hertha BSC,1.0,1 3,1.7,Köln,3000.0,Olympiastadion Berlin,Tobias Stieler,1,3
161,Regular Season,Sun,2022-01-09,17:30,Bochum,0.8,1 0,0.4,Wolfsburg,16133.8,Vonovia Ruhrstadion,Daniel Schlager,1,0
162,Regular Season,Fri,2022-01-14,20:30,Dortmund,1.8,5 1,0.7,Freiburg,750.0,Signal Iduna Park,Florian Badstübner,5,1
163,Regular Season,Sat,2022-01-15,15:30,Mainz 05,1.7,1 0,1.5,Bochum,1000.0,Opel Arena,Frank Willenborg,1,0
164,Regular Season,Sat,2022-01-15,15:30,Köln,1.2,0 4,3.4,Bayern Munich,1000.0,RheinEnergieSTADION,Tobias Welz,0,4
165,Regular Season,Sat,2022-01-15,15:30,Union Berlin,1.6,2 1,1.3,Hoffenheim,3000.0,Stadion An der Alten Försterei,Martin Petersen,2,1
166,Regular Season,Sat,2022-01-15,15:30,Stuttgart,1.1,0 2,1.3,RB Leipzig,500.0,Mercedes-Benz Arena,Daniel Schlager,0,2
167,Regular Season,Sat,2022-01-15,15:30,Wolfsburg,1.2,0 0,0.2,Hertha BSC,500.0,Volkswagen Arena,Robert Hartmann,0,0
168,Regular Season,Sat,2022-01-15,18:30,M'Gladbach,1.5,1 2,4.4,Leverkusen,750.0,Stadion im Borussia-Park,Sascha Stegemann,1,2
169,Regular Season,Sun,2022-01-16,15:30,Augsburg,1.4,1 1,2.2,Eint Frankfurt,25827.93442622951,WWK Arena,Sven Jablonski,1,1
170,Regular Season,Sun,2022-01-16,17:30,Arminia,0.8,2 2,0.4,Greuther Fürth,750.0,SchücoArena,Christian Dingert,2,2
171,Regular Season,Fri,2022-01-21,20:30,Eint Frankfurt,1.9,0 2,1.5,Arminia,1000.0,Commerzbank-Arena,Tobias Reichel,0,2
172,Regular Season,Sat,2022-01-22,15:30,Greuther Fürth,1.1,2 1,2.0,Mainz 05,10032.76923076923,Sportpark Ronhof Thomas Sommer,Robert Schröder,2,1
173,Regular Season,Sat,2022-01-22,15:30,M'Gladbach,1.0,1 2,1.1,Union Berlin,750.0,Stadion im Borussia-Park,Felix Brych,1,2
174,Regular Season,Sat,2022-01-22,15:30,Freiburg,1.6,2 0,0.5,Stuttgart,500.0,Europa-Park Stadion,Tobias Stieler,2,0
175,Regular Season,Sat,2022-01-22,15:30,Leverkusen,3.2,5 1,1.4,Augsburg,750.0,BayArena,Daniel Schlager,5,1
176,Regular Season,Sat,2022-01-22,15:30,Hoffenheim,1.5,2 3,1.5,Dortmund,500.0,PreZero Arena,Deniz Aytekin,2,3
177,Regular Season,Sat,2022-01-22,18:30,Bochum,1.8,2 2,1.0,Köln,750.0,Vonovia Ruhrstadion,Matthias Jöllenbeck,2,2
178,Regular Season,Sun,2022-01-23,15:30,RB Leipzig,1.3,2 0,0.9,Wolfsburg,1000.0,Red Bull Arena,Daniel Siebert,2,0
